user_id,subscription_date,recipe_section_pageviews,food_section_pageviews,fashion_section_pageviews,beauty_section_pageviews,news_section_pageviews,Last sub date,date diff,per day visits-recipe,per day visit-food,per day visit- fashion,per day visit-beauty,per day visit- news,List,Recipe,Other
3253,7/1/2010,0,6,0,0,3,9/29/2020,3743,0,0.001602992,0,0,0.000801496,6,,0
3415,7/1/2010,1,0,0,0,4,9/29/2020,3743,0.000267165,0,0,0,0.001068662,,1,0
3423,8/31/2010,3,1,0,0,0,9/29/2020,3682,0.000814775,0.000271592,0,0,0,1,2,0
3557,7/1/2010,2,3,2,0,4,9/29/2020,3743,0.000534331,0.000801496,0.000534331,0,0.001068662,2,2,1
3699,5/13/2013,4,2,3,0,18,9/29/2020,2696,0.00148368,0.00074184,0.00111276,0,0.006676558,1,4,1
3791,7/30/2016,1,2,2,0,2,9/29/2020,1522,0.00065703,0.00131406,0.00131406,0,0.00131406,2,1,0
4159,2/13/2014,4,1,0,0,0,9/29/2020,2420,0.001652893,0.000413223,0,0,0,1,4,0
4331,7/1/2010,0,2,0,0,0,9/29/2020,3743,0,0.000534331,0,0,0,2,,0
4467,7/1/2010,0,1,0,0,0,9/29/2020,3743,0,0.000267165,0,0,0,1,,0
4560,7/1/2010,0,1,0,0,0,9/29/2020,3743,0,0.000267165,0,0,0,1,,0
4562,7/1/2010,0,1,0,0,0,9/29/2020,3743,0,0.000267165,0,0,0,1,,0
4728,7/1/2010,0,5,3,0,4,9/29/2020,3743,0,0.001335827,0.000801496,0,0.001068662,4,,1
5169,7/1/2010,0,4,7,0,13,9/29/2020,3743,0,0.001068662,0.001870158,0,0.00347315,3,,1
5301,7/1/2010,0,1,8,1,17,9/29/2020,3743,0,0.000267165,0.002137323,0.000267165,0.004541811,1,,0
5348,7/1/2010,2,0,2,0,9,9/29/2020,3743,0.000534331,0,0.000534331,0,0.002404488,,2,0
5483,7/1/2010,0,1,1,0,1,9/29/2020,3743,0,0.000267165,0.000267165,0,0.000267165,1,,0
5613,7/1/2010,1,0,0,0,0,9/29/2020,3743,0.000267165,0,0,0,0,,1,0
5664,7/1/2010,2,0,0,0,0,9/29/2020,3743,0.000534331,0,0,0,0,,2,0
6061,7/1/2010,0,3,2,0,0,9/29/2020,3743,0,0.000801496,0.000534331,0,0,3,,0
6100,7/1/2010,0,3,0,0,6,9/29/2020,3743,0,0.000801496,0,0,0.001602992,3,,0
6152,7/1/2010,1,0,0,0,1,9/29/2020,3743,0.000267165,0,0,0,0.000267165,,1,0
6567,5/23/2014,0,6,0,0,0,9/29/2020,2321,0,0.002585093,0,0,0,4,,2
7056,7/1/2010,4,1,0,0,1,9/29/2020,3743,0.001068662,0.000267165,0,0,0.000267165,,3,1
7183,7/1/2010,0,1,0,0,0,9/29/2020,3743,0,0.000267165,0,0,0,1,,0
7307,8/4/2015,0,1,0,0,9,9/29/2020,1883,0,0.000531067,0,0,0.004779607,1,,0
7390,7/1/2010,5,4,7,0,8,9/29/2020,3743,0.001335827,0.001068662,0.001870158,0,0.002137323,2,5,2
7721,7/1/2010,0,1,1,0,4,9/29/2020,3743,0,0.000267165,0.000267165,0,0.001068662,1,,0
7846,11/16/2019,0,1,2,0,0,9/29/2020,318,0,0.003144654,0.006289308,0,0,1,,0
7883,7/1/2010,2,5,1,0,7,9/29/2020,3743,0.000534331,0.001335827,0.000267165,0,0.001870158,5,2,0
7921,7/1/2010,1,0,0,0,8,9/29/2020,3743,0.000267165,0,0,0,0.002137323,,1,0
7998,4/1/2014,1,0,1,0,0,9/29/2020,2373,0.000421408,0,0.000421408,0,0,,1,0
8150,7/23/2015,1,2,1,0,3,9/29/2020,1895,0.000527704,0.001055409,0.000527704,0,0.001583113,1,1,1
8664,5/17/2013,1,0,0,0,1,9/29/2020,2692,0.000371471,0,0,0,0.000371471,,1,0
8668,7/1/2010,0,2,0,0,2,9/29/2020,3743,0,0.000534331,0,0,0.000534331,1,,1
8965,8/9/2020,3,0,0,0,0,9/29/2020,51,0.058823529,0,0,0,0,,3,0
8978,7/1/2010,0,1,0,0,1,9/29/2020,3743,0,0.000267165,0,0,0.000267165,1,,0
9055,7/24/2019,0,1,1,0,0,9/29/2020,433,0,0.002309469,0.002309469,0,0,1,,0
9174,7/1/2010,0,1,0,0,7,9/29/2020,3743,0,0.000267165,0,0,0.001870158,,,1
9316,7/1/2010,0,1,1,0,1,9/29/2020,3743,0,0.000267165,0.000267165,0,0.000267165,1,,0
9685,7/1/2010,1,5,2,0,4,9/29/2020,3743,0.000267165,0.001335827,0.000534331,0,0.001068662,5,1,0
9774,7/1/2010,3,0,2,0,6,9/29/2020,3743,0.000801496,0,0.000534331,0,0.001602992,,3,0
10022,7/1/2010,1,2,5,0,4,9/29/2020,3743,0.000267165,0.000534331,0.001335827,0,0.001068662,2,1,0
10232,7/1/2010,0,1,0,0,1,9/29/2020,3743,0,0.000267165,0,0,0.000267165,1,,0
10383,7/1/2010,0,2,4,1,5,9/29/2020,3743,0,0.000534331,0.001068662,0.000267165,0.001335827,2,,0
10412,7/1/2010,7,1,3,1,7,9/29/2020,3743,0.001870158,0.000267165,0.000801496,0.000267165,0.001870158,1,7,0
10468,4/13/2016,0,1,0,0,2,9/29/2020,1630,0,0.000613497,0,0,0.001226994,1,,0
10617,7/1/2010,1,0,0,0,2,9/29/2020,3743,0.000267165,0,0,0,0.000534331,,1,0
10722,7/1/2010,0,1,0,0,10,9/29/2020,3743,0,0.000267165,0,0,0.002671654,1,,0
10793,7/1/2010,1,1,3,0,3,9/29/2020,3743,0.000267165,0.000267165,0.000801496,0,0.000801496,1,1,0
10823,4/4/2013,1,2,0,0,0,9/29/2020,2735,0.000365631,0.000731261,0,0,0,1,1,1
13045,7/1/2010,0,6,2,6,8,9/29/2020,3743,0,0.001602992,0.000534331,0.001602992,0.002137323,5,,1
13228,7/1/2010,1,1,0,0,0,9/29/2020,3743,0.000267165,0.000267165,0,0,0,1,1,0
13308,7/1/2010,0,1,0,0,0,9/29/2020,3743,0,0.000267165,0,0,0,1,,0
14175,4/3/2013,1,2,3,2,5,9/29/2020,2736,0.000365497,0.000730994,0.001096491,0.000730994,0.001827485,,1,2
14594,8/6/2020,1,0,0,0,0,9/29/2020,54,0.018518519,0,0,0,0,,1,0
14653,7/1/2010,0,1,0,0,0,9/29/2020,3743,0,0.000267165,0,0,0,1,,0
14688,7/1/2010,0,1,1,0,0,9/29/2020,3743,0,0.000267165,0.000267165,0,0,,,1
15422,7/1/2010,1,1,2,0,15,9/29/2020,3743,0.000267165,0.000267165,0.000534331,0,0.004007481,,1,1
15660,9/9/2010,1,0,3,0,3,9/29/2020,3673,0.000272257,0,0.000816771,0,0.000816771,,1,0
15693,11/18/2018,0,1,0,0,11,9/29/2020,681,0,0.001468429,0,0,0.016152717,,,1
20761,7/20/2019,2,1,0,0,0,9/29/2020,437,0.004576659,0.00228833,0,0,0,1,2,0
21141,5/25/2014,0,3,0,0,4,9/29/2020,2319,0,0.001293661,0,0,0.001724881,3,,0
21510,7/1/2010,0,2,0,0,2,9/29/2020,3743,0,0.000534331,0,0,0.000534331,2,,0
21671,5/4/2016,1,0,0,0,2,9/29/2020,1609,0.000621504,0,0,0,0.001243008,,1,0
21743,5/26/2015,13,3,2,1,2,9/29/2020,1953,0.006656426,0.001536098,0.001024066,0.000512033,0.001024066,3,13,0
21835,7/1/2010,2,1,0,0,0,9/29/2020,3743,0.000534331,0.000267165,0,0,0,,2,1
22163,7/1/2010,0,1,1,0,3,9/29/2020,3743,0,0.000267165,0.000267165,0,0.000801496,,,1
22205,3/24/2015,2,0,0,0,1,9/29/2020,2016,0.000992063,0,0,0,0.000496032,,2,0
22373,7/1/2010,0,2,0,0,0,9/29/2020,3743,0,0.000534331,0,0,0,2,,0
22385,6/18/2013,1,1,0,0,2,9/29/2020,2660,0.00037594,0.00037594,0,0,0.00075188,,1,1
22519,7/1/2010,1,1,0,0,0,9/29/2020,3743,0.000267165,0.000267165,0,0,0,1,1,0
22642,2/26/2020,1,5,1,0,0,9/29/2020,216,0.00462963,0.023148148,0.00462963,0,0,6,,0
24314,5/25/2010,3,2,0,0,14,9/29/2020,3780,0.000793651,0.000529101,0,0,0.003703704,2,3,0
24447,6/21/2010,0,1,0,1,0,9/29/2020,3753,0,0.000266454,0,0.000266454,0,1,,0
24467,7/1/2010,0,2,0,0,0,9/29/2020,3743,0,0.000534331,0,0,0,2,,0
24473,12/10/2013,1,4,0,0,0,9/29/2020,2485,0.000402414,0.001609658,0,0,0,4,1,0
24486,7/21/2010,3,0,0,0,0,9/29/2020,3723,0.000805802,0,0,0,0,,3,0
24671,9/6/2010,1,1,4,0,2,9/29/2020,3676,0.000272035,0.000272035,0.001088139,0,0.00054407,1,1,0
24673,9/6/2010,1,0,0,0,3,9/29/2020,3676,0.000272035,0,0,0,0.000816104,,1,0
24674,12/19/2019,0,6,0,6,6,9/29/2020,285,0,0.021052632,0,0.021052632,0.021052632,3,,3
24675,9/6/2010,2,2,1,0,2,9/29/2020,3676,0.00054407,0.00054407,0.000272035,0,0.00054407,2,2,0
24721,9/7/2010,0,2,0,0,9,9/29/2020,3675,0,0.000544218,0,0,0.00244898,,,2
24767,9/8/2010,0,1,0,0,0,9/29/2020,3674,0,0.000272183,0,0,0,1,,0
24871,9/8/2010,0,1,0,0,0,9/29/2020,3674,0,0.000272183,0,0,0,1,,0
25020,1/18/2016,0,2,7,0,12,9/29/2020,1716,0,0.001165501,0.004079254,0,0.006993007,2,,0
25082,9/9/2010,1,0,1,0,0,9/29/2020,3673,0.000272257,0,0.000272257,0,0,,1,0
25277,9/13/2010,1,2,0,0,1,9/29/2020,3669,0.000272554,0.000545108,0,0,0.000272554,2,1,0
25490,4/18/2014,0,4,0,0,2,9/29/2020,2356,0,0.001697793,0,0,0.000848896,4,,0
25740,9/16/2010,0,2,0,0,0,9/29/2020,3666,0,0.000545554,0,0,0,2,,0
25880,9/17/2010,0,1,2,0,2,9/29/2020,3665,0,0.000272851,0.000545703,0,0.000545703,,,1
25909,9/17/2010,0,1,4,0,1,9/29/2020,3665,0,0.000272851,0.001091405,0,0.000272851,1,,0
25935,9/17/2010,0,1,2,0,0,9/29/2020,3665,0,0.000272851,0.000545703,0,0,1,,0
26308,9/20/2010,4,2,0,0,0,9/29/2020,3662,0.001092299,0.00054615,0,0,0,2,4,0
26621,9/23/2010,0,1,0,0,1,9/29/2020,3659,0,0.000273299,0,0,0.000273299,1,,0
26672,7/1/2012,0,1,0,0,0,9/29/2020,3012,0,0.000332005,0,0,0,1,,0
27080,9/27/2010,0,1,0,0,0,9/29/2020,3655,0,0.000273598,0,0,0,1,,0
27216,7/8/2015,3,5,0,1,0,9/29/2020,1910,0.001570681,0.002617801,0,0.00052356,0,4,3,1
27230,9/28/2010,0,1,0,0,0,9/29/2020,3654,0,0.000273673,0,0,0,,,1
27260,7/9/2017,3,3,3,0,3,9/29/2020,1178,0.002546689,0.002546689,0.002546689,0,0.002546689,3,3,0
27417,9/29/2010,0,1,1,0,0,9/29/2020,3653,0,0.000273748,0.000273748,0,0,1,,0
27439,9/29/2010,0,1,0,0,0,9/29/2020,3653,0,0.000273748,0,0,0,1,,0
28225,9/30/2010,5,3,3,1,0,9/29/2020,3652,0.001369113,0.000821468,0.000821468,0.000273823,0,2,5,1
28353,7/9/2013,2,1,0,0,3,9/29/2020,2639,0.000757863,0.000378931,0,0,0.001136794,1,2,0
28451,11/19/2015,0,1,0,0,0,9/29/2020,1776,0,0.000563063,0,0,0,1,,0
29132,9/30/2010,0,3,0,0,3,9/29/2020,3652,0,0.000821468,0,0,0.000821468,3,,0
29185,9/30/2010,0,1,0,0,0,9/29/2020,3652,0,0.000273823,0,0,0,1,,0
29241,9/30/2010,5,2,1,0,7,9/29/2020,3652,0.001369113,0.000547645,0.000273823,0,0.001916758,2,5,0
29255,9/30/2010,0,1,0,0,0,9/29/2020,3652,0,0.000273823,0,0,0,1,,0
29414,9/30/2010,0,1,0,0,0,9/29/2020,3652,0,0.000273823,0,0,0,1,,0
29455,2/4/2020,2,0,0,0,0,9/29/2020,238,0.008403361,0,0,0,0,,2,0
29559,9/30/2010,10,3,1,0,3,9/29/2020,3652,0.002738226,0.000821468,0.000273823,0,0.000821468,3,8,0
29660,10/1/2010,0,2,0,0,0,9/29/2020,3651,0,0.000547795,0,0,0,,,2
30132,10/1/2010,0,1,5,1,2,9/29/2020,3651,0,0.000273898,0.001369488,0.000273898,0.000547795,1,,0
30475,10/3/2010,7,5,3,0,4,9/29/2020,3649,0.001918334,0.001370238,0.000822143,0,0.001096191,4,7,1
30613,10/4/2010,0,3,7,0,8,9/29/2020,3648,0,0.000822368,0.00191886,0,0.002192982,3,,0
30633,10/4/2010,4,1,0,0,0,9/29/2020,3648,0.001096491,0.000274123,0,0,0,1,4,0
30636,10/4/2010,0,3,2,0,3,9/29/2020,3648,0,0.000822368,0.000548246,0,0.000822368,3,,0
32152,10/15/2010,0,2,2,1,0,9/29/2020,3637,0,0.000549904,0.000549904,0.000274952,0,1,,1
32393,10/16/2010,0,3,0,0,0,9/29/2020,3636,0,0.000825083,0,0,0,,,3
33767,7/7/2015,2,1,0,0,0,9/29/2020,1911,0.001046572,0.000523286,0,0,0,1,2,0
35497,9/5/2012,1,1,1,0,1,9/29/2020,2946,0.000339443,0.000339443,0.000339443,0,0.000339443,1,1,0
35512,2/7/2017,0,1,0,0,0,9/29/2020,1330,0,0.00075188,0,0,0,1,,0
35546,2/21/2012,0,1,0,0,0,9/29/2020,3143,0,0.000318167,0,0,0,1,,0
35983,11/12/2010,0,2,2,0,3,9/29/2020,3609,0,0.00055417,0.00055417,0,0.000831255,2,,0
36171,11/12/2010,0,2,0,0,0,9/29/2020,3609,0,0.00055417,0,0,0,2,,0
36247,6/27/2012,0,1,0,0,0,9/29/2020,3016,0,0.000331565,0,0,0,1,,0
36998,11/15/2010,0,1,0,0,2,9/29/2020,3606,0,0.000277316,0,0,0.000554631,1,,0
37097,11/16/2010,0,1,3,0,6,9/29/2020,3605,0,0.000277393,0.000832178,0,0.001664355,1,,0
37756,5/19/2014,0,1,0,0,0,9/29/2020,2325,0,0.000430108,0,0,0,1,,0
37816,11/18/2010,1,0,1,0,0,9/29/2020,3603,0.000277546,0,0.000277546,0,0,,1,0
37847,11/18/2010,2,0,1,0,0,9/29/2020,3603,0.000555093,0,0.000277546,0,0,,2,0
37908,11/18/2010,0,1,4,0,0,9/29/2020,3603,0,0.000277546,0.001110186,0,0,,,1
37924,11/18/2010,0,1,0,2,1,9/29/2020,3603,0,0.000277546,0,0.000555093,0.000277546,1,,0
38004,1/17/2012,3,14,9,4,6,9/29/2020,3178,0.00094399,0.004405286,0.00283197,0.001258653,0.00188798,8,3,6
38064,9/19/2014,0,3,4,1,6,9/29/2020,2202,0,0.001362398,0.00181653,0.000454133,0.002724796,1,,2
38102,10/28/2016,0,1,0,0,2,9/29/2020,1432,0,0.000698324,0,0,0.001396648,1,,0
38170,11/18/2010,2,1,0,0,0,9/29/2020,3603,0.000555093,0.000277546,0,0,0,1,2,0
38182,11/18/2010,0,1,0,1,0,9/29/2020,3603,0,0.000277546,0,0.000277546,0,,,1
38207,11/18/2010,0,1,0,0,0,9/29/2020,3603,0,0.000277546,0,0,0,,,1
38250,11/18/2010,0,1,23,0,11,9/29/2020,3603,0,0.000277546,0.006383569,0,0.003053011,1,,0
38291,10/5/2012,0,1,0,0,0,9/29/2020,2916,0,0.000342936,0,0,0,1,,0
38305,1/7/2017,5,1,1,0,6,9/29/2020,1361,0.003673769,0.000734754,0.000734754,0,0.004408523,1,5,0
38384,9/17/2018,0,2,0,0,0,9/29/2020,743,0,0.00269179,0,0,0,2,,0
38467,1/26/2017,1,2,0,3,0,9/29/2020,1342,0.000745156,0.001490313,0,0.002235469,0,2,1,0
38928,2/24/2016,1,1,5,0,1,9/29/2020,1679,0.000595593,0.000595593,0.002977963,0,0.000595593,1,1,0
38958,11/22/2010,1,0,0,0,0,9/29/2020,3599,0.000277855,0,0,0,0,,1,0
38965,11/22/2010,5,1,0,1,5,9/29/2020,3599,0.001389275,0.000277855,0,0.000277855,0.001389275,1,5,0
38972,11/22/2010,0,1,1,0,5,9/29/2020,3599,0,0.000277855,0.000277855,0,0.001389275,,,1
39086,11/22/2010,3,2,3,0,3,9/29/2020,3599,0.000833565,0.00055571,0.000833565,0,0.000833565,2,3,0
39096,6/22/2018,0,2,0,0,2,9/29/2020,830,0,0.002409639,0,0,0.002409639,1,,1
39106,11/22/2010,1,3,0,0,4,9/29/2020,3599,0.000277855,0.000833565,0,0,0.00111142,3,1,0
39111,11/22/2010,1,1,1,0,3,9/29/2020,3599,0.000277855,0.000277855,0.000277855,0,0.000833565,,1,1
39177,6/17/2017,1,0,1,2,0,9/29/2020,1200,0.000833333,0,0.000833333,0.001666667,0,,1,0
39303,11/22/2010,0,1,1,0,0,9/29/2020,3599,0,0.000277855,0.000277855,0,0,1,,0
39340,11/22/2010,0,10,4,4,3,9/29/2020,3599,0,0.00277855,0.00111142,0.00111142,0.000833565,10,,0
39417,11/22/2010,1,2,1,0,3,9/29/2020,3599,0.000277855,0.00055571,0.000277855,0,0.000833565,2,1,0
39504,12/4/2015,0,1,1,0,0,9/29/2020,1761,0,0.000567859,0.000567859,0,0,1,,0
39507,11/22/2010,8,0,0,7,0,9/29/2020,3599,0.00222284,0,0,0.001944985,0,,8,0
39513,2/14/2017,1,0,0,0,0,9/29/2020,1323,0.000755858,0,0,0,0,,1,0
39550,6/18/2018,1,0,1,0,1,9/29/2020,834,0.001199041,0,0.001199041,0,0.001199041,,1,0
39591,11/22/2010,0,1,0,0,0,9/29/2020,3599,0,0.000277855,0,0,0,1,,0
39593,11/22/2010,4,4,2,2,7,9/29/2020,3599,0.00111142,0.00111142,0.00055571,0.00055571,0.001944985,4,4,0
39612,11/22/2010,3,2,2,0,0,9/29/2020,3599,0.000833565,0.00055571,0.00055571,0,0,2,3,0
39706,11/22/2010,0,2,4,2,2,9/29/2020,3599,0,0.00055571,0.00111142,0.00055571,0.00055571,2,,0
39805,11/22/2010,1,3,1,0,2,9/29/2020,3599,0.000277855,0.000833565,0.000277855,0,0.00055571,3,1,0
39867,6/22/2015,0,3,0,1,0,9/29/2020,1926,0,0.001557632,0,0.000519211,0,,,3
39971,11/23/2010,0,21,3,0,0,9/29/2020,3598,0,0.005836576,0.000833797,0,0,3,,18
40061,11/23/2010,1,1,0,0,2,9/29/2020,3598,0.000277932,0.000277932,0,0,0.000555864,1,1,0
40100,11/23/2010,0,3,0,1,4,9/29/2020,3598,0,0.000833797,0,0.000277932,0.001111729,1,,2
40148,12/13/2012,0,1,0,0,1,9/29/2020,2847,0,0.000351247,0,0,0.000351247,1,,0
40152,11/23/2010,0,1,2,1,6,9/29/2020,3598,0,0.000277932,0.000555864,0.000277932,0.001667593,1,,0
40185,2/2/2016,6,7,0,1,2,9/29/2020,1701,0.003527337,0.004115226,0,0.000587889,0.001175779,7,6,0
40395,11/24/2010,1,4,11,4,8,9/29/2020,3597,0.000278009,0.001112038,0.003058104,0.001112038,0.002224076,4,1,0
40397,11/24/2010,0,2,0,0,1,9/29/2020,3597,0,0.000556019,0,0,0.000278009,2,,0
42772,5/23/2014,1,0,0,0,0,9/29/2020,2321,0.000430849,0,0,0,0,,1,0
43604,11/24/2010,0,1,0,0,0,9/29/2020,3597,0,0.000278009,0,0,0,1,,0
46480,11/24/2010,1,1,0,0,6,9/29/2020,3597,0.000278009,0.000278009,0,0,0.001668057,1,1,0
46654,1/31/2017,0,2,1,0,10,9/29/2020,1337,0,0.001495886,0.000747943,0,0.007479432,2,,0
47304,11/24/2010,0,2,0,0,0,9/29/2020,3597,0,0.000556019,0,0,0,2,,0
47599,11/24/2010,1,0,0,0,0,9/29/2020,3597,0.000278009,0,0,0,0,,1,0
49954,11/24/2010,0,7,5,4,0,9/29/2020,3597,0,0.001946066,0.001390047,0.001112038,0,3,,4
50018,5/4/2016,0,3,2,1,3,9/29/2020,1609,0,0.001864512,0.001243008,0.000621504,0.001864512,3,,0
50555,5/29/2019,0,1,0,0,0,9/29/2020,489,0,0.00204499,0,0,0,1,,0
50678,11/24/2010,0,8,0,0,8,9/29/2020,3597,0,0.002224076,0,0,0.002224076,8,,0
50929,11/24/2010,1,0,0,0,1,9/29/2020,3597,0.000278009,0,0,0,0.000278009,,1,0
51226,11/24/2010,0,1,2,0,0,9/29/2020,3597,0,0.000278009,0.000556019,0,0,,,1
55346,11/25/2010,0,3,0,0,0,9/29/2020,3596,0,0.00083426,0,0,0,3,,0
56958,11/27/2010,0,1,1,0,2,9/29/2020,3594,0,0.000278242,0.000278242,0,0.000556483,1,,0
57257,11/27/2010,0,1,1,0,0,9/29/2020,3594,0,0.000278242,0.000278242,0,0,,,1
57966,11/29/2010,0,1,0,0,0,9/29/2020,3592,0,0.000278396,0,0,0,1,,0
58096,11/29/2010,0,1,0,0,0,9/29/2020,3592,0,0.000278396,0,0,0,1,,0
58162,11/29/2010,0,2,0,0,0,9/29/2020,3592,0,0.000556793,0,0,0,2,,0
58295,1/9/2018,0,1,0,0,1,9/29/2020,994,0,0.001006036,0,0,0.001006036,1,,0
58370,4/26/2012,1,3,11,0,5,9/29/2020,3078,0.000324886,0.000974659,0.003573749,0,0.001624431,3,1,0
58582,12/1/2010,1,2,2,0,4,9/29/2020,3590,0.000278552,0.000557103,0.000557103,0,0.001114206,1,1,1
58747,12/2/2010,1,2,0,0,6,9/29/2020,3589,0.000278629,0.000557258,0,0,0.001671775,2,1,0
58793,12/2/2010,1,1,0,0,0,9/29/2020,3589,0.000278629,0.000278629,0,0,0,1,1,0
58921,12/2/2010,1,1,0,0,3,9/29/2020,3589,0.000278629,0.000278629,0,0,0.000835887,1,1,0
58950,12/2/2010,0,1,0,0,0,9/29/2020,3589,0,0.000278629,0,0,0,,,1
58952,7/16/2020,0,1,4,2,0,9/29/2020,75,0,0.013333333,0.053333333,0.026666667,0,1,,0
58972,12/2/2010,0,1,0,0,5,9/29/2020,3589,0,0.000278629,0,0,0.001393146,1,,0
58975,4/29/2016,0,1,1,1,1,9/29/2020,1614,0,0.000619579,0.000619579,0.000619579,0.000619579,,,1
58997,12/2/2010,0,55,0,0,0,9/29/2020,3589,0,0.015324603,0,0,0,5,,50
59010,12/2/2010,6,4,2,0,9,9/29/2020,3589,0.001671775,0.001114517,0.000557258,0,0.002507662,3,6,1
59182,7/25/2020,3,0,1,0,0,9/29/2020,66,0.045454545,0,0.015151515,0,0,,3,0
59502,12/6/2010,0,1,1,0,0,9/29/2020,3585,0,0.00027894,0.00027894,0,0,1,,0
59756,4/28/2014,2,4,1,0,0,9/29/2020,2346,0.000852515,0.00170503,0.000426257,0,0,4,2,0
59762,9/13/2014,1,1,2,0,0,9/29/2020,2208,0.000452899,0.000452899,0.000905797,0,0,1,1,0
60318,7/2/2012,0,1,0,0,0,9/29/2020,3011,0,0.000332116,0,0,0,1,,0
60501,12/11/2010,1,0,0,0,1,9/29/2020,3580,0.00027933,0,0,0,0.00027933,,1,0
60591,12/11/2010,0,1,0,0,4,9/29/2020,3580,0,0.00027933,0,0,0.001117318,,,1
60808,12/13/2010,1,0,0,0,0,9/29/2020,3578,0.000279486,0,0,0,0,,1,0
60813,12/13/2010,0,2,6,0,0,9/29/2020,3578,0,0.000558971,0.001676914,0,0,,,2
60817,1/22/2014,0,1,0,0,0,9/29/2020,2442,0,0.0004095,0,0,0,,,1
60834,2/16/2012,0,1,1,1,0,9/29/2020,3148,0,0.000317662,0.000317662,0.000317662,0,1,,0
60846,1/17/2012,2,0,0,0,0,9/29/2020,3178,0.000629327,0,0,0,0,,2,0
60856,12/13/2010,0,1,0,0,2,9/29/2020,3578,0,0.000279486,0,0,0.000558971,1,,0
60993,12/13/2010,0,1,4,0,5,9/29/2020,3578,0,0.000279486,0.001117943,0,0.001397429,1,,0
61099,1/5/2018,0,1,1,0,8,9/29/2020,998,0,0.001002004,0.001002004,0,0.008016032,,,1
61337,12/15/2010,0,33,0,0,0,9/29/2020,3576,0,0.009228188,0,0,0,,,33
61361,12/15/2010,0,2,2,0,14,9/29/2020,3576,0,0.000559284,0.000559284,0,0.003914989,2,,0
61375,7/25/2016,1,0,0,0,0,9/29/2020,1527,0.000654879,0,0,0,0,,1,0
61405,12/15/2010,1,0,0,0,0,9/29/2020,3576,0.000279642,0,0,0,0,,1,0
61487,12/15/2010,0,1,2,0,13,9/29/2020,3576,0,0.000279642,0.000559284,0,0.003635347,,,1
61531,12/15/2010,2,0,0,0,0,9/29/2020,3576,0.000559284,0,0,0,0,,2,0
61575,12/15/2010,1,1,1,0,0,9/29/2020,3576,0.000279642,0.000279642,0.000279642,0,0,1,1,0
61686,12/15/2010,0,1,0,0,0,9/29/2020,3576,0,0.000279642,0,0,0,1,,0
61793,12/15/2010,0,4,2,6,3,9/29/2020,3576,0,0.001118568,0.000559284,0.001677852,0.000838926,4,,0
61929,2/2/2016,1,1,0,1,3,9/29/2020,1701,0.000587889,0.000587889,0,0.000587889,0.001763668,1,1,0
61943,12/15/2010,0,30,0,0,2,9/29/2020,3576,0,0.008389262,0,0,0.000559284,,,30
62101,5/19/2019,1,0,3,0,0,9/29/2020,499,0.002004008,0,0.006012024,0,0,,1,0
62225,12/16/2010,1,1,1,0,0,9/29/2020,3575,0.00027972,0.00027972,0.00027972,0,0,1,1,0
62554,8/15/2019,0,1,0,0,0,9/29/2020,411,0,0.00243309,0,0,0,1,,0
